length, eff, eps, r_bat, R_m, R_p, R_s
1.226136897987770980e-01,2.986940936934736057e-01,3.203219779581849280e-02,4.404448037026491569e-01,6.981183042525258031e+01,8.889665148624729341e+01,2.628549757740161041e+01
4.045843313561581917e-02,3.007190535806228415e-01,1.971906078141132668e-01,4.209765292391697833e-01,1.767064012577851599e+02,2.491222517655800175e+02,9.140765569266596913e+01
2.617718025532843329e-02,3.419661050406941349e-01,1.451564992072326699e-01,6.468624325189801239e-01,8.487227263274131417e+01,1.212153346890423506e+02,7.103884948718365422e+01
1.562182096296778067e-01,3.432648407840177551e-01,8.550208127793293422e-02,7.407343974607296655e-01,5.130606879095882533e+01,1.134642592922247246e+02,1.428357449421088177e+02
1.544291306302463529e-01,3.460852327080221613e-01,7.263566287725857773e-01,1.918765434198061448e-01,1.203114155371077771e+02,4.591191389624163577e+01,1.118958367943863124e+02
4.883016402193032096e-02,2.836877075416569527e-01,1.665312831158834161e-01,6.068548963309302602e-01,4.324598518065770492e+01,1.273394325030276519e+02,1.058388311031515059e+02
2.794208529930895107e-02,3.289486497539731991e-01,4.301531079367050814e-01,3.490500545903761354e-01,1.690536030287154006e+02,7.843241315794641366e+01,2.088736859261794905e+02
2.021501995862012291e-01,2.806252673088957539e-01,5.034377703272476801e-01,4.768139718136352179e-01,3.746131312689748682e+01,1.496814856344456359e+02,6.755148657865856876e+01
7.865513206536506319e-02,3.311234171996591535e-01,7.221069352775698613e-01,3.393166369821435935e-01,7.298951395972022738e+01,2.386961078958844098e+02,2.262394819697470325e+02
5.885076328397565587e-02,3.120467430528942043e-01,1.685884437407542680e-01,9.828435049538797319e-01,4.897233878265019769e+01,7.325365557533568506e+01,5.886026421398914010e+01
6.004471605490615399e-02,2.611820581215804626e-01,4.221810118355643487e-02,2.364598037403091713e-01,6.286699924037373677e+01,4.785540872593620776e+01,1.566677637695618159e+02
9.993584398378363431e-02,2.751925390967023266e-01,7.883201668784592941e-01,7.490593221104718813e-01,8.360098225960391005e+01,1.003530773279883306e+02,1.666338189180327163e+02
2.670477039362838950e-02,3.038271554477465219e-01,5.280959533767418668e-01,4.870046534494346102e-01,1.097911771770005913e+02,1.766748946815436625e+02,1.631575867072202186e+02
2.105552802528982276e-02,2.932119023485726395e-01,7.451857319635922794e-01,8.656921726408449702e-01,2.035785731770992868e+02,5.288574074547209136e+01,1.494625218792851342e+02
3.018436348770829614e-02,3.159167223496138766e-01,7.519552786134501288e-01,8.858784642427979250e-01,5.030615995462169820e+01,1.707339112267674466e+02,1.459944267173057142e+02
2.497074673748411744e-01,2.635464087506728670e-01,6.385046065939808946e-01,3.720513311959833813e-01,1.645932790952271674e+01,2.011607336899240863e+02,1.689898005876517573e+02
1.736870056373671090e-01,2.763675276987195284e-01,7.000204746629292707e-01,9.678504635532371170e-01,1.440710235892277353e+02,2.045219069718418439e+02,8.027866865072758173e+01
1.171111443117917733e-01,3.481377797047895961e-01,4.281990003973945580e-01,2.861942592626384174e-01,2.523723158235195285e+01,4.418770158281201077e+01,2.515455554124273618e+01
1.830340909095194146e-01,2.740425158905599456e-01,3.770123525595487357e-01,4.166362855228046835e-01,8.124467747415113195e+01,2.283864858394977659e+02,2.477620473619169559e+02
1.077068911565929044e-01,2.592669617343867361e-01,6.287052276793785310e-01,8.106973059693554085e-01,9.720639609539665216e+00,1.554713303613834512e+02,3.319033400421820090e+01
2.095934252659113484e-01,3.198848296149882087e-01,2.415689452095633738e-01,3.977999889101955788e-01,3.424454519606352676e+01,2.431146722380915115e+00,2.010750946976607452e+02
1.209259343104123786e-02,2.788660642850125382e-01,6.085049176896236700e-01,2.997790173545528125e-01,1.091889613902286982e+02,3.508995613209388154e+01,1.700528039542153635e+02
8.581744492378515221e-02,3.280081915946645998e-01,9.524280704468840453e-02,8.222842592025747521e-01,1.384430782763607510e+02,2.150979131375312932e+02,1.014767758493649126e+02
1.912389818712593170e-01,2.539793020084943342e-01,1.779589397357492220e-01,3.298387855102523081e-01,2.203317482589614826e+02,8.134412845409971737e+01,1.085854589790099283e+02
